family,title,field,present_count,total_count,completeness_percent
advocates_legal,Disability Rights California,source_url,1,1,100
advocates_legal,Disability Rights California,artifact_path,1,1,100
advocates_legal,Disability Rights California,source_role,1,1,100
advocates_legal,Disability Rights California,supporting_text,1,1,100
advocates_legal,Disability Rights California,fetched_at,1,1,100
advocates_legal,Disability Rights California,content_hash,1,1,100
advocates_legal,Free Legal Help,source_url,1,1,100
advocates_legal,Free Legal Help,artifact_path,1,1,100
advocates_legal,Free Legal Help,source_role,1,1,100
advocates_legal,Free Legal Help,supporting_text,1,1,100
advocates_legal,Free Legal Help,fetched_at,1,1,100
advocates_legal,Free Legal Help,content_hash,1,1,100
dd_routing,Home,source_url,1,1,100
dd_routing,Home,artifact_path,1,1,100
dd_routing,Home,source_role,1,1,100
dd_routing,Home,supporting_text,1,1,100
dd_routing,Home,fetched_at,1,1,100
dd_routing,Home,content_hash,1,1,100
dd_routing,Supporting lives of liberty and opportunity,source_url,1,1,100
dd_routing,Supporting lives of liberty and opportunity,artifact_path,1,1,100
dd_routing,Supporting lives of liberty and opportunity,source_role,1,1,100
dd_routing,Supporting lives of liberty and opportunity,supporting_text,1,1,100
dd_routing,Supporting lives of liberty and opportunity,fetched_at,1,1,100
dd_routing,Supporting lives of liberty and opportunity,content_hash,1,1,100
education_routing,Parents' Rights,source_url,1,1,100
education_routing,Parents' Rights,artifact_path,1,1,100
education_routing,Parents' Rights,source_role,1,1,100
education_routing,Parents' Rights,supporting_text,1,1,100
education_routing,Parents' Rights,fetched_at,1,1,100
education_routing,Parents' Rights,content_hash,1,1,100
education_routing,"Laws, Regulations, & Policies",source_url,1,1,100
education_routing,"Laws, Regulations, & Policies",artifact_path,1,1,100
education_routing,"Laws, Regulations, & Policies",source_role,1,1,100
education_routing,"Laws, Regulations, & Policies",supporting_text,1,1,100
education_routing,"Laws, Regulations, & Policies",fetched_at,1,1,100
education_routing,"Laws, Regulations, & Policies",content_hash,1,1,100
education_routing,Resources on IEPs for Students with Disabilities,source_url,1,1,100
education_routing,Resources on IEPs for Students with Disabilities,artifact_path,1,1,100
education_routing,Resources on IEPs for Students with Disabilities,source_role,1,1,100
education_routing,Resources on IEPs for Students with Disabilities,supporting_text,1,1,100
education_routing,Resources on IEPs for Students with Disabilities,fetched_at,1,1,100
education_routing,Resources on IEPs for Students with Disabilities,content_hash,1,1,100
education_routing,Public Schools and Districts Data Files,source_url,1,1,100
education_routing,Public Schools and Districts Data Files,artifact_path,1,1,100
education_routing,Public Schools and Districts Data Files,source_role,1,1,100
education_routing,Public Schools and Districts Data Files,supporting_text,1,1,100
education_routing,Public Schools and Districts Data Files,fetched_at,1,1,100
education_routing,Public Schools and Districts Data Files,content_hash,1,1,100
education_routing,California Special Education Local Plan Areas,source_url,2,2,100
education_routing,California Special Education Local Plan Areas,artifact_path,2,2,100
education_routing,California Special Education Local Plan Areas,source_role,2,2,100
education_routing,California Special Education Local Plan Areas,supporting_text,2,2,100
education_routing,California Special Education Local Plan Areas,fetched_at,2,2,100
education_routing,California Special Education Local Plan Areas,content_hash,2,2,100
education_routing,California School Directory,source_url,2,2,100
education_routing,California School Directory,artifact_path,2,2,100
education_routing,California School Directory,source_role,2,2,100
education_routing,California School Directory,supporting_text,2,2,100
education_routing,California School Directory,fetched_at,2,2,100
education_routing,California School Directory,content_hash,2,2,100
education_routing,Family Involvement & Partnerships,source_url,1,1,100
