stateId,targetTable,gapFamily,sourceName,sourceUrl,domain,crawlMethod,sourceFamily,recordCount,verificationStatus,alreadyInMasterLedger,whyNeeded
multi-state,iep_advocates,advocates_legal,Advocate for Children and Special Education Services,https://www.yellowpagesforkids.com/,yellowpagesforkids.com,static_fetch,advocate_directory,908,verified,false,Existing DB source URL for iep_advocates; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Children’s Disabilities Information Coalition – CPRC,https://www.parentcenterhub.org/index.php?map_id=0&usterritorieshtml5map_get_state_info=44,parentcenterhub.org,playwright,nonprofit,595,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Texas Parent to Parent (Statewide Support),https://www.txp2p.org/,txp2p.org,static_fetch,nonprofit,508,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
new-york,nonprofit_organizations,nonprofit_support,Advocates for Children of New York – PTI,https://www.parentcenterhub.org/index.php?map_id=0&usterritorieshtml5map_get_state_info=33,parentcenterhub.org,playwright,nonprofit,498,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
california,nonprofit_organizations,nonprofit_support,CARES (California Hands and Voices) – CPRC,https://www.parentcenterhub.org/index.php?map_id=0&usterritorieshtml5map_get_state_info=5,parentcenterhub.org,playwright,nonprofit,468,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of Texas (Statewide Support),https://thearcoftexas.org/,thearcoftexas.org,static_fetch,nonprofit,259,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Autism Society of Texas (Statewide Support),https://www.texasautismsociety.org/,texasautismsociety.org,static_fetch,nonprofit,255,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Autism Society Texas,http://www.texasautismsociety.org/,texasautismsociety.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Partners Resource Network (Statewide Support),https://prntexas.org/,prntexas.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of DFW Area,https://thearc.org/chapter/the-arc-of-dallas-fort-worth,thearc.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of Greater Beaumont,https://thearc.org/chapter/the-arc-of-greater-beaumont,thearc.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of Katy,https://thearc.org/chapter/the-arc-of-katy,thearc.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of the Gulf Coast,https://thearc.org/chapter/the-arc-of-the-gulf-coast,thearc.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Disability Rights Texas (Statewide Support),https://www.disabilityrightstx.org/,disabilityrightstx.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,Navigate Life Texas (Statewide Support),https://www.navigatelifetexas.org/,navigatelifetexas.org,static_fetch,nonprofit,254,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of Bryan-College Station,https://thearc.org/chapter/the-arc-of-bryan-college-station,thearc.org,static_fetch,nonprofit,248,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,nonprofit_organizations,nonprofit_support,The Arc of San Antonio,https://thearc.org/chapter/the-arc-of-san-antonio,thearc.org,static_fetch,nonprofit,248,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,county_offices,medicaid_hhs_offices,Texas Health & Human Services - Palestine Office,https://hhs.texas.gov/services/financial/social-services-offices,hhs.texas.gov,static_fetch,official_government,239,verified,true,Existing DB source URL for county_offices; scrape to extract deeper fields and validate freshness.
tennessee,nonprofit_organizations,nonprofit_support,"TNSTEP, Tennessee’s Parent & Youth Training & Information Center – PTI",https://www.parentcenterhub.org/index.php?map_id=0&usterritorieshtml5map_get_state_info=43,parentcenterhub.org,playwright,nonprofit,190,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
texas,county_offices,medicaid_hhs_offices,Dallas County HHSC,https://doi.org/10.7910/DVN/AVRHMI,doi.org,static_fetch,reference_dataset,162,verified,false,Existing DB source URL for county_offices; scrape to extract deeper fields and validate freshness.
georgia,nonprofit_organizations,nonprofit_support,Georgia Advocacy Office (GAO) - Statewide Support,https://thegao.org/,thegao.org,static_fetch,nonprofit,159,official_verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
georgia,nonprofit_organizations,nonprofit_support,Parent to Parent of Georgia - Statewide Support,https://www.p2pga.org/,p2pga.org,static_fetch,nonprofit,159,official_verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
georgia,nonprofit_organizations,nonprofit_support,"Parent to Parent of Georgia, Inc. – PTI",https://www.parentcenterhub.org/index.php?map_id=0&usterritorieshtml5map_get_state_info=11,parentcenterhub.org,playwright,nonprofit,159,verified,true,Existing DB source URL for nonprofit_organizations; scrape to extract deeper fields and validate freshness.
