id,url,domain,family,stateId,targetTable,sourceName,scrapeLane,launchNeedClass,crawlMethod,ledgerStatus,firstPartyMode,priority,sourceArtifacts,whyNeeded,currentEvidence,doNotScrapeReason
launch-url-00001,http://www.in.gov/fssa/ddars,in.gov,forms_guides,indiana,forms_and_guides,Indiana Bureau of Disabilities Services,author_first_candidate,author_first,,author_first_candidate,,1,data/source_packs/forms_source_pack.json,"Reviewed 2026-06-17. The queued DDRS fallback URL canonically redirects to the live first-party DDARS root, which is safer than the blocked forms placeholder domain dhhs.indiana.gov.",,
launch-url-00002,https://hhs.iowa.gov/medicaid,hhs.iowa.gov,forms_guides,iowa,forms_and_guides,Iowa Medicaid,author_first_candidate,author_first,,author_first_candidate,,1,data/source_packs/forms_source_pack.json,"Reviewed 2026-06-17. The queued IME fallback URL returned HTTP 404, while the live first-party Iowa Medicaid root returned HTTP 200. Using the live Medicaid root is safer than the blocked forms placeholder domain dhhs.iowa.gov.",,
launch-url-00003,https://ldh.la.gov/microsite/11,ldh.la.gov,forms_guides,louisiana,forms_and_guides,Louisiana Office for Citizens with Developmental Disabilities,author_first_candidate,author_first,,author_first_candidate,,1,data/source_packs/forms_source_pack.json,"Reviewed 2026-06-17. The queued HCBS eligibility fallback URL returned HTTP 404, while the OCDD fallback URL resolved to the live first-party microsite root. Using the live OCDD root is safer than the blocked forms placeholder domain dhhs.louisiana.gov.",,
launch-url-00004,https://health.maryland.gov/dda/Pages/Home.aspx,health.maryland.gov,forms_guides,maryland,forms_and_guides,Maryland Developmental Disabilities Administration,author_first_candidate,author_first,,author_first_candidate,,1,data/source_packs/forms_source_pack.json,"Reviewed 2026-06-17. The queued DDA HCBS eligibility path redirected into a dead page and returned HTTP 404, while the live first-party DDA home page resolved cleanly. Using the live DDA page is safer than the blocked forms placeholder domain dhhs.maryland.gov.",,
launch-url-00005,https://www.mass.gov/orgs/department-of-developmental-services,mass.gov,forms_guides,massachusetts,forms_and_guides,Massachusetts Department of Developmental Services,author_first_candidate,author_first,,author_first_candidate,,1,data/source_packs/forms_source_pack.json,"Reviewed 2026-06-17. The queued DDS HCBS eligibility path returned HTTP 404, while the queued DDS root canonically redirects into the live Mass.gov DDS org page chain. Using the live DDS org page is safer than the blocked forms placeholder domain dhhs.massachusetts.gov.",,
launch-url-00006,https://acl.gov/programs/support-caregivers/national-family-caregiver-support-program,acl.gov,knowledge_content,,knowledge_content,ACL National Family Caregiver Support Program,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Build caregiving and respite guidance from an official aging and caregiver support source.,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,
launch-url-00007,https://www.cdc.gov/act-early/milestones,cdc.gov,knowledge_content,,knowledge_content,CDC Developmental Milestones,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Build age/stage developmental guidance for early identification and referral journeys.,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,
launch-url-00008,https://www.cdc.gov/autism/about,cdc.gov,knowledge_content,,knowledge_content,CDC Autism Spectrum Disorder,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,"Build official autism journey content covering signs, screening, and next steps.",Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,
launch-url-00009,https://www.cdc.gov/child-development/about/developmental-disability-basics.html,cdc.gov,knowledge_content,,knowledge_content,CDC Developmental Disabilities,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Build source-backed explanatory content for developmental disability family journeys.,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,
launch-url-00010,https://www.medicaid.gov/medicaid,medicaid.gov,knowledge_content,,knowledge_content,Medicaid and CHIP Information from CMS,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Build Medicaid and CHIP overview content from a federal official source.,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,
