id,provider_id,provider_name,state_id,county_id,source_url,source_host,clue_page_type,clue_field,current_status,decision,clue_page_url,clue_value,clue_text,review_notes,reviewed_by
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__accessibility_page__asl_available,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,accessibility_page,asl_available,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__accessibility_page__interpreter_available,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,accessibility_page,interpreter_available,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__accessibility_page__wheelchair_accessible,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,accessibility_page,wheelchair_accessible,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__contact_page__interpreter_available,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,contact_page,interpreter_available,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__contact_page__languages,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,contact_page,languages,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__contact_page__next_step_type,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,contact_page,next_step_type,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__patient_services__accessibility_notes,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,patient_services,accessibility_notes,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__patient_services__home_visits,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,patient_services,home_visits,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__patient_services__transportation_help,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,patient_services,transportation_help,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__texas-dallas-tx-callier-center-for-communication-disorders-rp__patient_services__wheelchair_accessible,texas-dallas-tx-callier-center-for-communication-disorders-rp,Callier Center for Communication Disorders,texas,dallas-tx,https://calliercenter.utdallas.edu/,calliercenter.utdallas.edu,patient_services,wheelchair_accessible,queued,,,,,"Seeded review task for Callier Center for Communication Disorders. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
