id,stateId,targetTable,gapFamily,sourceName,sourceUrl,domain,ledgerStatus,crawlMethod,priority,trustedMissingRows,sourceFamily,whyNeeded
nonprofit_link_registry-texas-nonprofit-organizations-https-www-texasautismsociety-org,texas,nonprofit_organizations,nonprofit_support,texasautismsociety.org,https://www.texasautismsociety.org/,texasautismsociety.org,ready_js_heavy,playwright,3418,509,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-www-txp2p-org,texas,nonprofit_organizations,nonprofit_support,txp2p.org,https://www.txp2p.org/,txp2p.org,ready_js_heavy,playwright,3416,508,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-thearcoftexas-org,texas,nonprofit_organizations,nonprofit_support,thearcoftexas.org,https://thearcoftexas.org/,thearcoftexas.org,ready_js_heavy,playwright,2918,259,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-dallas-fort-worth,texas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-dallas-fort-worth,thearc.org,ready_lightweight,static_fetch,3508,254,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-greater-beaumont,texas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-greater-beaumont,thearc.org,ready_lightweight,static_fetch,3508,254,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-katy,texas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-katy,thearc.org,ready_lightweight,static_fetch,3508,254,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-the-gulf-coast,texas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-the-gulf-coast,thearc.org,ready_lightweight,static_fetch,3508,254,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-prntexas-org,texas,nonprofit_organizations,nonprofit_support,prntexas.org,https://prntexas.org/,prntexas.org,ready_js_heavy,playwright,2908,254,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-www-disabilityrightstx-org,texas,nonprofit_organizations,nonprofit_support,disabilityrightstx.org,https://www.disabilityrightstx.org/,disabilityrightstx.org,ready_js_heavy,playwright,2908,254,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-www-navigatelifetexas-org,texas,nonprofit_organizations,nonprofit_support,navigatelifetexas.org,https://www.navigatelifetexas.org/,navigatelifetexas.org,ready_js_heavy,playwright,2908,254,nonprofit,Needed to deepen local nonprofit help coverage.
