Completed checking 249 unique domains.
Failed domains count: 92

Failing domains details:
  State: ALABAMA | Name: Alabama Department of Education Special Ed | URL: https://www.alabama-education.gov
  State: ALABAMA | Name: Alabama Parent Training Center | URL: https://www.apnsof.org
  State: ALABAMA | Name: The Arc of Alabama | URL: https://www.thearcal.org
  State: ALASKA | Name: The Arc of Alaska | URL: https://www.thearcalaska.org
  State: ARIZONA | Name: Arizona Department of Education Special Ed | URL: https://education.arizona.gov
  State: ARIZONA | Name: The Arc of Arizona | URL: https://www.thearcarizona.org
  State: ARKANSAS | Name: Arkansas Department of Education Special Ed | URL: https://education.arkansas.gov
  State: ARKANSAS | Name: The Arc of Arkansas | URL: https://www.thearcarkansas.org
  State: COLORADO | Name: Colorado Department of Education Special Ed | URL: https://education.colorado.gov
  State: COLORADO | Name: The Arc of Colorado | URL: https://www.thearccolorado.org
  State: CONNECTICUT | Name: Connecticut County Metadata | URL: https://www.connecticut.gov
  State: CONNECTICUT | Name: Connecticut Department of Education Special Ed | URL: https://education.connecticut.gov
  State: CONNECTICUT | Name: The Arc of Connecticut | URL: https://www.thearcconnecticut.org
  State: DELAWARE | Name: The Arc of Delaware | URL: https://www.thearcdelaware.org
  State: FLORIDA | Name: Children's Medical Services (CMS) Plan | URL: https://www.cmsplan.floridahealth.gov
  State: FLORIDA | Name: Florida Open Data Portal | URL: https://data.florida.gov
  State: HAWAII | Name: Hawaii Department of Education Special Ed | URL: https://education.hawaii.gov
  State: HAWAII | Name: The Arc of Hawaii | URL: https://www.thearchawaii.org
  State: IDAHO | Name: Idaho Department of Education Special Ed | URL: https://education.idaho.gov
  State: IDAHO | Name: The Arc of Idaho | URL: https://www.thearcidaho.org
  State: ILLINOIS | Name: IL Association of Counties directory | URL: https://www.ilcounties.org
  State: INDIANA | Name: Indiana Department of Education Special Ed | URL: https://education.indiana.gov
  State: INDIANA | Name: The Arc of Indiana | URL: https://www.thearcindiana.org
  State: IOWA | Name: Iowa Department of Education Special Ed | URL: https://education.iowa.gov
  State: IOWA | Name: The Arc of Iowa | URL: https://www.thearciowa.org
  State: KANSAS | Name: Kansas Department of Education Special Ed | URL: https://education.kansas.gov
  State: KANSAS | Name: The Arc of Kansas | URL: https://www.thearckansas.org
  State: KENTUCKY | Name: Kentucky Department of Education Special Ed | URL: https://education.kentucky.gov
