Found 2244 usages of dead/stale URLs:
Table: county_offices            | Column: website      | ID: off-alachua-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-brevard-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-broward-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-baker-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-clay-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-duval-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-nassau-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-st-johns-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-hillsborough-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-lee-fl-fl-medicaid    | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-leon-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-miami-dade-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-orange-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-palm-beach-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-pasco-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-pinellas-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-polk-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-seminole-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-calhoun-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-bay-fl-fl-medicaid    | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-gulf-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-washington-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-holmes-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-escambia-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-volusia-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-marion-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-osceola-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
